,world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
1075,76,Moscow State University,1,27.1,51.6,34.2,0.0,7.5,48.5,31.6,2007
1076,76,Tohoku University,4,27.1,17.6,0.0,22.2,23.7,63.0,28.3,2007
1077,78,Case Western Reserve University,46,26.8,38.1,11.5,21.0,19.6,43.0,32.2,2007
1078,79,University of Melbourne,2,26.6,14.4,14.1,22.2,18.4,55.1,25.0,2007
1079,80,Michigan State University,47,26.1,11.8,0.0,36.3,24.6,51.0,18.4,2007
1080,81,University of Nottingham,9,26.0,14.4,20.0,24.6,16.2,44.8,27.3,2007
1081,82,University of Basel,3,25.9,24.3,17.1,21.0,22.9,35.6,35.1,2007
1082,83,Boston University,48,25.5,14.4,0.0,30.6,27.1,50.4,17.3,2007
1083,83,Ecole Normale Superieure - Paris,3,25.5,48.5,31.6,12.8,16.8,25.8,25.8,2007
1084,83,King's College London,10,25.5,15.6,23.1,19.6,15.4,45.1,26.6,2007
1085,86,Stockholm University,3,25.3,27.6,29.6,16.6,17.2,36.4,19.4,2007
1086,87,McMaster University,4,25.0,15.6,18.9,22.2,14.3,45.4,25.7,2007
1087,87,Rice University,49,25.0,20.4,21.9,22.2,22.3,30.0,29.8,2007
1088,87,University of Goettingen,4,25.0,36.3,20.0,14.8,16.3,39.7,25.2,2007
1089,90,Indiana University Bloomington,50,24.9,13.2,17.9,27.7,20.0,39.9,18.0,2007
1090,91,Texas A&M University - College Station,51,24.8,0.0,0.0,33.1,23.6,53.7,20.3,2007
1091,92,University of Birmingham,11,24.5,23.5,10.9,22.2,15.4,45.3,26.9,2007
1092,93,University of Utah,52,24.3,0.0,0.0,30.6,27.6,47.5,25.0,2007
1093,94,Nagoya University,5,24.1,0.0,14.1,18.2,22.3,50.0,25.0,2007
1094,94,University of Freiburg,5,24.1,23.5,20.9,16.6,18.9,37.4,23.6,2007
1095,96,Arizona State University - Tempe,53,24.0,0.0,14.1,24.6,26.1,42.7,18.2,2007
1096,97,Lund University,4,23.9,27.6,0.0,23.4,19.1,50.7,18.0,2007
1097,97,University of Iowa,54,23.9,0.0,0.0,34.0,22.2,49.6,21.1,2007
1098,99,Tokyo Institute of Technology,6,23.8,15.6,0.0,22.2,23.9,46.9,30.4,2007
1099,99,University of Bonn,6,23.8,18.6,20.0,14.8,16.9,42.6,24.2,2007
1100,99,University of Strasbourg,4,23.8,27.6,22.5,16.6,18.5,32.8,22.9,2007
1510,1,Harvard University,1,100.0,100.0,100.0,100.0,100.0,100.0,74.1,2008
1511,2,Stanford University,2,73.7,40.0,78.7,86.6,68.9,71.6,66.9,2008
1512,3,"University of California, Berkeley",3,71.4,69.0,77.1,68.8,70.6,70.0,53.0,2008
1513,4,University of Cambridge,1,70.4,90.3,91.5,53.6,56.0,64.1,65.0,2008
1514,5,Massachusetts Institute of Technology (MIT),4,69.6,71.0,80.6,65.6,68.7,61.6,53.9,2008
1515,6,California Institute of Technology,5,65.4,52.8,69.1,57.4,66.1,49.7,100.0,2008
1516,7,Columbia University,6,62.5,72.4,65.7,56.5,52.3,70.5,46.6,2008
1517,8,Princeton University,7,58.9,59.3,80.4,61.9,40.5,44.8,59.3,2008
1518,9,University of Chicago,8,57.1,67.4,81.9,50.5,39.5,51.9,41.3,2008
1519,10,University of Oxford,2,56.8,59.0,57.9,48.4,52.0,66.0,45.7,2008
1520,11,Yale University,9,54.9,48.5,43.6,57.0,55.7,62.4,48.7,2008
1521,12,Cornell University,10,54.1,41.5,51.3,54.1,52.3,64.7,40.4,2008
1522,13,"University of California, Los Angeles",11,52.4,24.4,42.8,57.4,48.9,75.7,36.0,2008
1523,14,"University of California, San Diego",12,50.3,15.8,34.0,59.7,53.0,66.7,47.4,2008
1524,15,University of Pennsylvania,13,49.0,31.7,34.4,58.3,41.3,69.0,39.2,2008
1525,16,University of Washington,14,48.3,25.7,31.8,53.1,49.5,74.1,28.0,2008
1526,17,University of Wisconsin - Madison,15,47.4,38.4,35.5,52.6,41.2,68.1,28.8,2008
1527,18,"University of California, San Francisco",16,46.6,0.0,36.8,54.1,51.5,60.8,47.5,2008
1528,19,The University of Tokyo,1,46.4,32.2,14.1,43.1,51.9,83.3,35.0,2008
1529,20,The Johns Hopkins University,17,45.5,45.8,27.8,43.1,48.7,68.5,24.8,2008
1530,21,University of Michigan - Ann Arbor,18,44.2,38.4,0.0,60.6,41.7,78.1,31.4,2008
1531,22,University College London,3,44.0,31.2,32.2,38.6,44.3,65.8,35.4,2008
1532,23,Kyoto University,2,43.5,35.4,33.4,38.6,35.8,70.6,31.5,2008
1533,24,Swiss Federal Institute of Technology Zurich,1,43.1,35.9,36.3,36.1,38.1,53.6,56.0,2008
1534,24,University of Toronto,1,43.1,25.0,19.3,38.6,37.0,79.8,45.8,2008
1535,26,University of Illinois at Urbana-Champaign,19,42.9,37.1,36.6,43.8,36.1,60.3,26.9,2008
1536,27,"The Imperial College of Science, Technology and Medicine",4,42.4,18.6,37.4,39.9,38.2,61.8,39.4,2008
1537,28,"University of Minnesota, Twin Cities",20,40.4,32.2,16.3,50.0,34.8,67.5,24.4,2008
1538,29,Washington University in St. Louis,21,40.1,22.4,26.0,38.6,43.2,56.0,40.5,2008
1539,30,Northwestern University,22,38.1,19.4,18.9,46.7,32.8,58.7,37.7,2008
1540,31,New York University,23,37.4,34.1,24.5,39.9,34.4,53.4,25.9,2008
1541,32,Duke University,24,37.2,18.6,0.0,46.1,42.6,63.4,39.8,2008
1542,32,Rockefeller University,24,37.2,20.2,58.6,29.2,42.2,22.3,37.9,2008
1543,34,University of Colorado at Boulder,26,36.4,14.8,30.8,39.3,39.4,45.5,30.4,2008
1544,35,University of British Columbia,2,36.3,18.6,18.9,31.8,31.9,65.8,38.2,2008
1545,36,"University of California, Santa Barbara",27,35.5,0.0,35.3,41.9,34.9,43.2,35.4,2008
1546,37,"University of Maryland, College Park",28,34.6,23.1,20.0,40.6,30.4,53.1,26.1,2008
1547,38,University of North Carolina at Chapel Hill,29,33.9,11.2,16.3,37.9,28.8,62.0,29.1,2008
1548,39,The University of Texas at Austin,30,33.7,19.4,16.7,46.1,26.7,54.2,21.3,2008
1549,40,The University of Manchester,5,33.6,24.4,18.9,28.2,28.3,60.5,30.4,2008
1550,41,The University of Texas Southwestern Medical Center at Dallas,31,33.3,21.7,33.2,30.9,31.7,39.3,32.1,2008
1551,42,Pennsylvania State University - University Park,32,33.1,12.5,0.0,45.5,38.5,58.9,24.4,2008
1552,42,Pierre and Marie  Curie University - Paris 6,1,33.1,36.6,23.6,23.1,27.3,58.2,21.3,2008
1553,42,Vanderbilt University,32,33.1,18.6,29.6,30.9,23.1,50.3,36.0,2008
1554,45,University of Copenhagen,1,33.0,27.4,24.2,26.3,25.4,54.5,33.4,2008
1555,46,"University of California, Irvine",34,32.8,0.0,29.4,37.2,27.5,49.3,32.9,2008
1556,47,Utrecht University,1,32.4,27.4,20.9,28.2,28.8,53.3,26.0,2008
1557,48,"University of California, Davis",35,32.2,0.0,0.0,46.7,31.7,63.2,30.0,2008
1558,49,University of Paris Sud (Paris 11),2,32.1,33.3,46.2,14.6,20.4,47.0,23.1,2008
1559,50,University of Southern California,36,32.0,0.0,26.8,38.6,24.7,52.6,26.7,2008
1560,51,Karolinska Institute,1,31.6,27.4,27.3,31.8,18.3,50.1,25.7,2008
1561,52,University of Pittsburgh,37,31.3,22.4,0.0,40.6,23.2,63.1,28.3,2008
1562,53,University of Zurich,2,31.0,11.2,26.8,24.7,27.5,50.2,32.4,2008
1563,54,"Rutgers, The State University of New Jersey",38,30.9,13.7,20.0,39.9,27.9,44.0,23.8,2008
1564,55,The University of Edinburgh,6,30.8,20.2,16.7,26.3,32.3,49.7,30.0,2008
1565,55,University of Munich,1,30.8,33.1,22.9,16.3,25.6,52.7,31.8,2008
1566,57,Technical University Munich,2,30.5,41.1,23.6,25.3,18.9,44.8,30.6,2008
1567,58,University of Florida,39,30.4,20.2,0.0,37.2,22.7,64.9,26.6,2008
1568,59,The Australian National University,1,30.0,15.8,12.6,35.7,30.5,43.4,32.2,2008
1569,60,McGill University,3,29.9,25.7,0.0,32.6,22.8,60.3,34.3,2008
1570,61,University of Bristol,7,29.5,9.7,17.9,28.2,28.1,47.8,33.5,2008
1571,62,Carnegie Mellon University,40,29.3,31.2,32.8,31.8,11.3,35.7,30.9,2008
1572,62,The Ohio State University - Columbus,40,29.3,15.8,0.0,41.9,19.8,63.0,20.3,2008
1573,64,University of Oslo,1,29.0,23.1,33.4,17.9,17.0,46.7,29.8,2008
1574,65,Purdue University - West Lafayette,42,28.8,16.8,16.7,30.1,22.0,52.8,21.0,2008
1575,65,The Hebrew University of Jerusalem,1,28.8,29.6,20.0,24.2,22.9,44.1,28.7,2008
1576,67,University of Heidelberg,3,28.4,17.7,27.2,17.9,20.4,49.2,29.3,2008
1577,68,Osaka University,3,28.3,11.2,0.0,26.3,28.2,63.6,28.7,2008
1578,68,University of Helsinki,1,28.3,16.8,17.9,21.9,20.8,53.8,30.1,2008
1579,70,Moscow State University,1,28.1,49.1,34.2,0.0,8.3,53.2,33.4,2008
1580,71,Brown University,43,27.9,16.8,13.6,31.8,26.6,40.4,29.9,2008
1581,71,Uppsala University,2,27.9,23.1,32.2,12.6,19.3,49.5,21.0,2008
1582,73,Ecole Normale Superieure - Paris,3,27.7,53.4,24.5,12.6,17.2,25.9,56.2,2008
1583,73,University of Melbourne,2,27.7,13.7,14.1,23.1,19.6,58.1,26.7,2008
1584,73,University of Rochester,44,27.7,29.6,8.9,27.3,21.6,44.1,36.1,2008
1585,76,Leiden University,2,27.6,22.4,15.5,28.2,17.7,47.6,28.8,2008
1586,77,The University of Sheffield,8,27.5,20.9,14.1,21.9,25.5,47.0,29.7,2008
1587,77,University of Arizona,45,27.5,0.0,0.0,30.1,36.5,54.2,25.9,2008
1588,79,Tohoku University,4,27.1,16.8,0.0,21.9,23.2,63.9,28.9,2008
1589,79,University of Utah,46,27.1,0.0,11.5,30.1,29.2,48.0,26.1,2008
1590,81,King's College London,9,26.8,14.8,23.1,21.9,15.3,48.7,28.6,2008
1591,82,University of Nottingham,10,26.5,13.7,20.0,24.2,16.0,47.9,28.7,2008
1592,83,Boston University,47,25.6,13.7,0.0,30.1,27.5,51.5,17.8,2008
1593,83,Case Western Reserve University,47,25.6,36.3,11.5,21.9,15.2,42.1,31.5,2008
1594,83,Michigan State University,47,25.6,11.2,0.0,35.7,22.4,51.6,18.5,2008
1595,86,Stockholm University,3,25.5,26.3,29.6,16.3,19.2,36.2,19.7,2008
1596,87,University of Basel,3,25.4,23.1,17.1,20.6,21.1,35.7,34.9,2008
1597,88,Texas A&M University - College Station,50,25.2,0.0,0.0,32.6,24.5,55.0,20.9,2008
1598,89,McMaster University,4,25.1,14.8,18.9,21.9,14.7,46.1,26.4,2008
1599,90,University of Goettingen,4,24.9,34.5,20.0,14.6,16.5,40.3,25.6,2008
1600,91,University of Birmingham,11,24.8,22.4,10.9,21.9,15.6,47.3,28.0,2008
1601,92,Indiana University Bloomington,51,24.6,12.5,17.9,26.3,21.2,39.3,18.1,2008
1602,93,Arizona State University - Tempe,52,24.5,0.0,14.1,24.2,28.2,43.1,18.9,2008
1603,93,Aarhus University,2,24.5,13.7,18.9,7.3,24.5,48.2,27.0,2008
1604,95,University of Virginia,53,24.4,0.0,0.0,32.6,26.3,47.2,25.5,2008
1605,96,University of Freiburg,5,24.2,22.4,20.9,16.3,19.2,38.0,24.2,2008
1606,97,Lund University,4,24.1,26.3,0.0,25.3,18.0,51.7,18.6,2008
1607,97,Rice University,54,24.1,19.4,21.9,21.9,19.7,29.5,29.3,2008
1608,97,University of Bonn,6,24.1,17.7,20.0,14.6,20.2,41.3,24.7,2008
1609,97,University of Sydney,3,24.1,17.7,0.0,20.6,16.4,58.0,26.8,2008
2013,1,Harvard University,1,100.0,100.0,100.0,100.0,100.0,100.0,74.8,2009
2014,2,Stanford University,2,73.1,39.0,78.7,87.1,67.3,70.1,66.9,2009
2015,3,"University of California, Berkeley",3,71.0,67.4,77.1,68.4,71.1,69.0,53.2,2009
2016,4,University of Cambridge,1,70.2,89.4,91.5,53.8,53.9,65.4,65.5,2009
2017,5,Massachusetts Institute of Technology (MIT),4,69.5,71.0,80.6,65.7,67.9,62.0,54.4,2009
2018,6,California Institute of Technology,5,64.8,51.5,69.1,57.1,66.2,47.7,100.0,2009
2019,7,Columbia University,6,61.7,70.6,67.7,55.7,49.1,69.6,46.5,2009
2020,8,Princeton University,7,60.2,57.8,85.2,61.6,41.5,45.7,61.4,2009
2021,9,University of Chicago,8,57.0,65.8,84.3,49.7,38.6,51.6,41.8,2009
2022,10,University of Oxford,2,56.3,57.6,57.9,48.9,49.8,66.1,45.7,2009
2023,11,Yale University,9,55.2,49.8,43.6,57.6,55.7,62.7,49.5,2009
2024,12,Cornell University,10,53.1,40.5,51.3,54.3,51.7,61.2,39.9,2009
2025,13,"University of California, Los Angeles",11,52.3,23.8,42.8,57.4,50.3,74.5,36.2,2009
2026,14,"University of California, San Diego",12,50.7,15.5,35.9,60.3,53.9,65.2,48.0,2009
2027,15,University of Pennsylvania,13,49.3,30.9,34.4,57.6,44.1,69.0,39.8,2009
2028,16,University of Washington,14,48.0,25.0,31.8,53.3,48.8,73.7,28.1,2009
2029,17,University of Wisconsin - Madison,15,46.7,37.5,35.5,52.3,39.8,66.7,28.6,2009
2030,18,"University of California, San Francisco",16,45.9,0.0,36.8,53.8,49.7,59.9,46.7,2009
2031,19,The Johns Hopkins University,17,45.2,44.7,27.8,41.7,49.1,67.1,24.9,2009
2032,20,The University of Tokyo,1,45.1,34.1,14.1,42.9,49.0,79.7,34.1,2009
2033,21,University College London,3,44.6,30.4,32.2,40.4,45.2,66.0,36.1,2009
2034,22,University of Michigan - Ann Arbor,18,43.8,37.5,0.0,60.3,41.4,77.3,31.4,2009
2035,23,Swiss Federal Institute of Technology Zurich,1,43.6,35.0,36.3,35.9,41.8,52.6,57.0,2009
2036,24,Kyoto University,2,42.7,34.6,34.9,38.4,34.6,67.3,31.0,2009
2037,25,University of Illinois at Urbana-Champaign,19,42.4,36.2,36.6,42.9,35.9,59.7,26.8,2009
2038,26,"The Imperial College of Science, Technology and Medicine",4,41.9,18.1,37.4,40.4,35.9,61.7,39.4,2009
2039,27,University of Toronto,1,40.5,24.4,19.3,39.1,35.1,78.2,27.5,2009
2040,28,"University of Minnesota, Twin Cities",20,40.4,31.4,16.3,49.7,35.3,67.5,24.6,2009
2041,29,Washington University in St. Louis,21,39.5,21.9,26.0,39.1,41.3,55.0,40.1,2009
2042,30,Northwestern University,22,38.7,18.9,18.9,47.0,34.8,59.1,38.5,2009
2043,31,Duke University,23,37.1,18.1,0.0,47.0,41.7,63.0,40.0,2009
2044,32,New York University,24,36.9,33.2,24.5,39.7,33.1,52.9,25.8,2009
2045,32,Rockefeller University,24,36.9,19.7,58.6,29.0,41.9,21.6,37.6,2009
2046,34,University of Colorado at Boulder,26,36.4,14.5,30.8,39.1,39.8,45.2,30.6,2009
2047,35,"University of California, Santa Barbara",27,35.0,0.0,35.3,41.7,33.8,42.3,35.2,2009
2048,36,University of British Columbia,2,34.4,18.1,18.9,31.6,31.3,64.8,23.7,2009
2049,37,"University of Maryland, College Park",28,34.1,22.5,20.0,40.4,28.1,53.6,26.1,2009
2050,38,The University of Texas at Austin,29,34.0,18.9,16.7,46.5,27.7,54.3,21.6,2009
2051,39,University of North Carolina at Chapel Hill,30,33.4,10.9,16.3,39.1,27.0,60.4,28.9,2009
2052,40,Pierre and Marie  Curie University - Paris 6,1,33.3,35.7,23.6,22.9,27.7,59.3,21.7,2009
2053,41,The University of Manchester,5,33.0,23.8,18.9,28.1,28.5,58.3,29.9,2009
2054,41,Vanderbilt University,31,33.0,18.1,29.6,31.6,22.1,50.1,36.2,2009
2055,43,University of Copenhagen,1,32.7,26.8,24.2,26.2,24.8,54.5,33.2,2009
2056,43,University of Paris Sud (Paris 11),2,32.7,32.5,46.2,14.5,20.1,50.3,23.9,2009
2057,45,Pennsylvania State University - University Park,32,32.5,12.2,0.0,45.9,37.6,56.9,24.1,2009
2058,46,"University of California, Irvine",33,32.4,0.0,29.4,37.0,26.1,48.9,32.8,2009
2059,46,University of Southern California,33,32.4,0.0,26.8,37.7,27.0,52.8,27.1,2009
2060,48,The University of Texas Southwestern Medical Center at Dallas,35,32.2,21.2,33.2,30.8,27.8,39.1,31.1,2009
2061,49,"University of California, Davis",36,31.8,0.0,0.0,46.5,31.0,62.6,29.9,2009
2062,50,Karolinska Institute,1,31.7,26.8,27.3,31.6,19.4,49.6,25.8,2009
2063,50,University of Pittsburgh,37,31.7,21.9,0.0,42.3,24.1,62.6,28.7,2009
2064,52,Utrecht University,1,31.5,26.8,20.9,28.1,30.5,48.2,25.1,2009
2065,53,The University of Edinburgh,6,31.0,19.7,16.7,27.1,32.2,50.1,30.5,2009
2066,54,University of Zurich,2,30.9,10.9,26.8,24.6,28.5,49.0,32.5,2009
2067,55,"Rutgers, The State University of New Jersey - New Brunswick",38,30.4,13.4,20.0,40.4,25.8,43.4,23.6,2009
2068,55,University of Munich,1,30.4,32.3,22.9,16.2,24.5,52.5,31.4,2009
2069,57,Technical University Munich,2,30.2,40.1,23.6,25.1,18.1,45.2,30.4,2009
2070,58,University of Florida,39,29.8,19.7,0.0,37.0,21.2,64.1,26.4,2009
2071,59,Carnegie Mellon University,40,29.6,30.4,32.8,30.8,14.6,35.1,31.0,2009
2072,59,The Australian National University,1,29.6,15.5,12.6,36.3,27.2,44.1,32.2,2009
2073,61,University of Bristol,7,29.5,9.5,17.9,29.0,28.6,46.7,33.7,2009
2074,62,The Ohio State University - Columbus,41,29.1,15.5,0.0,41.7,20.9,61.3,20.2,2009
2075,63,University of Heidelberg,3,28.7,17.3,27.2,17.8,22.5,49.0,29.5,2009
2076,64,The Hebrew University of Jerusalem,1,28.6,28.9,20.0,24.1,22.6,43.9,28.5,2009
2077,65,King's College London,8,28.5,14.5,23.1,29.0,15.0,49.2,30.4,2009
2078,65,McGill University,3,28.5,25.0,0.0,32.4,22.8,58.6,24.9,2009
2079,65,Purdue University - West Lafayette,42,28.5,16.4,16.7,29.9,21.9,51.7,20.9,2009
2080,65,University of Oslo,1,28.5,22.5,33.4,17.8,16.1,45.6,29.2,2009
2081,69,Brown University,43,28.4,16.4,13.6,31.6,28.6,41.0,30.7,2009
2082,70,Ecole Normale Superieure - Paris,3,28.1,52.1,24.5,12.6,17.9,27.6,57.1,2009
2083,71,Osaka University,3,27.8,10.9,0.0,26.2,27.8,62.0,28.3,2009
2084,72,Leiden University,2,27.7,21.9,15.5,29.0,17.9,47.2,29.1,2009
2085,72,University of Helsinki,1,27.7,16.4,17.9,21.8,20.7,51.8,29.2,2009
2086,74,Boston University,44,27.3,13.4,11.5,29.9,24.8,51.5,17.9,2009
2087,75,University of Melbourne,2,27.2,13.4,14.1,22.9,17.2,58.5,26.7,2009
2088,76,Uppsala University,2,27.1,22.5,32.2,12.6,17.6,48.3,20.6,2009
2089,77,Moscow State University,1,26.9,47.9,34.2,0.0,8.2,48.7,31.7,2009
2090,77,University of Arizona,45,26.9,0.0,0.0,29.9,36.5,51.7,25.5,2009
2091,77,University of Rochester,45,26.9,28.9,8.9,27.1,19.4,43.4,35.5,2009
2092,80,University of Utah,47,26.6,0.0,11.5,30.8,27.3,47.2,25.9,2009
2093,81,The University of Sheffield,9,26.3,20.4,14.1,21.8,23.0,44.6,28.5,2009
2094,82,Nagoya University,4,26.0,25.0,14.1,16.2,22.6,48.1,25.9,2009
2095,83,University of Nottingham,10,25.9,13.4,20.0,24.1,15.1,46.4,28.3,2009
2096,84,Tohoku University,5,25.8,16.4,0.0,21.8,22.3,59.7,27.5,2009
2097,85,University of Basel,3,25.6,22.5,17.1,22.9,19.4,36.1,35.5,2009
2098,86,Michigan State University,48,25.5,10.9,0.0,37.0,19.8,52.4,18.8,2009
2099,87,Case Western Reserve University,49,25.3,35.4,11.5,21.8,15.1,41.6,31.3,2009
2100,88,Stockholm University,3,25.2,25.6,29.6,16.2,19.2,35.1,19.6,2009
2101,88,Texas A&M University - College Station,50,25.2,0.0,0.0,33.2,23.9,54.9,21.1,2009
2102,90,University of Goettingen,4,24.9,33.7,20.0,14.5,16.6,40.7,25.6,2009
2103,91,McMaster University,4,24.6,14.5,18.9,22.9,14.4,45.3,22.6,2009
2104,91,University of Virginia,51,24.6,0.0,0.0,33.2,27.0,46.8,25.8,2009
2105,93,Indiana University Bloomington,52,24.4,12.2,17.9,26.2,19.3,40.4,18.2,2009
2106,94,Arizona State University - Tempe,53,24.3,0.0,14.1,22.9,27.6,44.4,19.1,2009
2107,94,University of Birmingham,11,24.3,21.9,10.9,21.8,15.5,45.4,27.4,2009
2108,94,University of Sydney,3,24.3,17.3,0.0,20.5,18.4,57.4,27.0,2009
2109,97,Aarhus University,2,24.2,13.4,18.9,7.3,24.0,47.6,26.6,2009
2110,98,University of Bonn,5,24.1,17.3,20.0,14.5,20.9,41.1,24.7,2009
2111,99,Rice University,54,23.9,18.9,21.9,21.8,18.0,30.7,29.5,2009
2112,100,Emory University,55,23.8,0.0,0.0,31.6,22.2,50.4,24.0,2009
2514,1,Harvard University,1,100.0,100.0,100.0,100.0,100.0,100.0,69.2,2010
2515,2,"University of California, Berkeley",2,72.4,67.6,79.3,69.0,70.9,70.6,54.2,2010
2516,3,Stanford University,3,72.1,40.2,78.4,87.6,68.4,69.7,50.1,2010
2517,4,Massachusetts Institute of Technology (MIT),4,71.4,70.5,80.3,66.8,70.1,61.4,64.5,2010
2518,5,University of Cambridge,1,69.6,88.5,92.6,53.9,54.3,65.7,53.1,2010
2519,6,California Institute of Technology,5,64.4,50.3,68.8,56.7,64.8,46.9,100.0,2010
2520,7,Princeton University,6,60.8,56.4,84.8,61.1,43.3,44.3,65.5,2010
2521,8,Columbia University,7,60.4,70.7,67.4,56.2,47.6,69.9,32.1,2010
2522,9,University of Chicago,8,57.3,65.5,83.9,50.9,39.8,50.5,40.0,2010
2523,10,University of Oxford,2,56.4,56.2,57.6,48.8,49.8,68.5,41.1,2010
2524,11,Yale University,9,54.6,48.6,44.9,58.5,56.3,62.0,37.0,2010
2525,12,Cornell University,10,52.6,42.3,51.1,54.3,49.9,59.5,38.1,2010
2526,13,"University of California, Los Angeles",11,52.2,27.2,42.6,56.9,49.2,75.1,31.2,2010
2527,14,"University of California, San Diego",12,50.0,15.1,35.8,60.2,54.6,65.1,37.9,2010
2528,15,University of Pennsylvania,13,49.0,32.9,34.3,57.1,46.9,68.6,28.5,2010
2529,16,University of Washington,14,48.7,24.4,31.7,53.9,51.6,72.5,28.1,2010
2530,17,University of Wisconsin - Madison,15,46.4,36.5,35.4,51.9,40.2,66.1,25.7,2010
2531,18,The Johns Hopkins University,16,46.0,43.6,32.1,42.0,49.4,64.0,27.2,2010
2532,18,"University of California, San Francisco",17,46.0,0.0,40.1,53.4,51.8,60.7,33.6,2010
2533,20,The University of Tokyo,1,45.9,33.3,14.1,42.0,52.0,80.4,34.5,2010
2534,21,University College London,3,44.4,32.9,32.1,39.4,44.6,67.0,31.6,2010
2535,22,University of Michigan - Ann Arbor,18,44.2,36.5,0.0,59.8,43.4,79.8,26.3,2010
2536,23,Swiss Federal Institute of Technology Zurich,1,43.4,34.1,36.1,36.3,43.6,53.6,47.1,2010
2537,24,Kyoto University,2,43.1,33.7,34.7,38.1,36.0,67.6,31.0,2010
2538,25,University of Illinois at Urbana-Champaign,19,42.6,35.4,36.5,42.6,37.1,58.6,27.8,2010
2539,26,"The Imperial College of Science, Technology and Medicine",4,41.9,17.7,37.2,41.4,36.9,62.3,33.0,2010
2540,27,University of Toronto,1,41.8,23.8,19.2,38.8,38.3,80.3,27.9,2010
2541,28,"University of Minnesota, Twin Cities",20,40.6,30.6,16.2,50.4,36.1,66.6,23.9,2010
2542,29,Northwestern University,21,38.4,18.5,18.9,48.3,35.9,59.7,28.4,2010
2543,30,Washington University in St. Louis,22,38.1,21.3,25.9,38.8,41.0,54.8,26.7,2010
2544,31,New York University,23,37.8,32.4,24.4,40.7,36.2,54.4,22.4,2010
2545,32,"University of California, Santa Barbara",24,37.1,16.0,35.1,42.0,33.3,42.6,37.3,2010
2546,32,University of Colorado at Boulder,24,37.1,14.1,30.7,38.8,41.7,44.7,33.5,2010
2547,34,Rockefeller University,26,36.7,19.2,58.4,28.8,42.3,21.0,35.6,2010
2548,35,Duke University,27,35.3,17.7,0.0,45.8,42.2,62.0,24.4,2010
2549,36,University of British Columbia,2,34.7,17.7,18.9,32.2,30.8,65.7,23.7,2010
2550,36,"University of Maryland, College Park",28,34.7,22.0,19.9,41.4,29.0,53.6,26.2,2010
2551,38,The University of Texas at Austin,29,34.5,18.5,16.6,46.1,28.4,54.4,24.7,2010
2552,39,Pierre and Marie  Curie University - Paris 6,1,34.2,34.8,23.5,24.9,28.8,59.9,21.9,2010
2553,40,University of Copenhagen,1,33.4,26.1,24.1,26.0,26.0,56.4,32.3,2010
2554,41,University of North Carolina at Chapel Hill,30,33.3,10.7,16.2,39.4,27.7,60.6,23.9,2010
2555,42,Karolinska Institute,1,33.2,26.1,27.2,31.4,20.5,49.9,38.1,2010
2556,43,Pennsylvania State University - University Park,31,32.6,11.9,0.0,46.6,37.4,56.1,23.2,2010
2557,44,The University of Manchester,5,32.4,23.2,18.9,27.9,28.0,59.1,23.1,2010
2558,45,University of Paris Sud (Paris 11),2,32.3,31.7,46.0,12.5,20.8,49.9,23.6,2010
2559,46,"University of California, Davis",32,32.0,0.0,0.0,47.2,31.7,63.0,26.0,2010
2560,46,"University of California, Irvine",32,32.0,0.0,29.3,36.7,26.3,49.3,26.9,2010
2561,46,University of Southern California,32,32.0,0.0,26.7,38.8,26.3,53.1,20.0,2010
